timestamp,device,kwh
2025-09-26T00:00:00Z,HVAC,2.8
2025-09-26T00:15:00Z,HVAC,2.5
2025-09-26T00:30:00Z,HVAC,2.3
2025-09-26T00:45:00Z,HVAC,2.1
2025-09-26T01:00:00Z,HVAC,1.9
2025-09-26T01:15:00Z,HVAC,1.8
2025-09-26T01:30:00Z,HVAC,1.6
2025-09-26T01:45:00Z,HVAC,1.5
2025-09-26T02:00:00Z,HVAC,1.4
2025-09-26T02:15:00Z,HVAC,1.3
2025-09-26T02:30:00Z,HVAC,1.2
2025-09-26T02:45:00Z,HVAC,1.1
2025-09-26T03:00:00Z,HVAC,1.0
2025-09-26T03:15:00Z,HVAC,0.9
2025-09-26T03:30:00Z,HVAC,0.8
2025-09-26T03:45:00Z,HVAC,0.8
2025-09-26T04:00:00Z,HVAC,0.7
2025-09-26T04:15:00Z,HVAC,0.7
2025-09-26T04:30:00Z,HVAC,0.8
2025-09-26T04:45:00Z,HVAC,0.9
2025-09-26T05:00:00Z,HVAC,1.1
2025-09-26T05:15:00Z,HVAC,1.3
2025-09-26T05:30:00Z,HVAC,1.5
2025-09-26T05:45:00Z,HVAC,1.8
2025-09-26T06:00:00Z,HVAC,2.1
2025-09-26T06:15:00Z,HVAC,2.4
2025-09-26T06:30:00Z,HVAC,2.7
2025-09-26T06:45:00Z,HVAC,3.0
2025-09-26T07:00:00Z,HVAC,3.3
2025-09-26T07:15:00Z,HVAC,3.6
2025-09-26T07:30:00Z,HVAC,3.8
2025-09-26T07:45:00Z,HVAC,4.1
2025-09-26T08:00:00Z,HVAC,4.4
2025-09-26T00:00:00Z,Water_Heater,1.2
2025-09-26T00:15:00Z,Water_Heater,0.8
2025-09-26T00:30:00Z,Water_Heater,0.5
2025-09-26T00:45:00Z,Water_Heater,0.3
2025-09-26T01:00:00Z,Water_Heater,0.2
2025-09-26T01:15:00Z,Water_Heater,0.1
2025-09-26T01:30:00Z,Water_Heater,0.1
2025-09-26T01:45:00Z,Water_Heater,0.1
2025-09-26T02:00:00Z,Water_Heater,0.1
2025-09-26T02:15:00Z,Water_Heater,0.1
2025-09-26T02:30:00Z,Water_Heater,0.1
2025-09-26T02:45:00Z,Water_Heater,0.1
2025-09-26T03:00:00Z,Water_Heater,0.1
2025-09-26T03:15:00Z,Water_Heater,0.1
2025-09-26T03:30:00Z,Water_Heater,0.1
2025-09-26T03:45:00Z,Water_Heater,0.1
2025-09-26T04:00:00Z,Water_Heater,0.1
2025-09-26T04:15:00Z,Water_Heater,0.1
2025-09-26T04:30:00Z,Water_Heater,0.2
2025-09-26T04:45:00Z,Water_Heater,0.3
2025-09-26T05:00:00Z,Water_Heater,0.5
2025-09-26T05:15:00Z,Water_Heater,0.8
2025-09-26T05:30:00Z,Water_Heater,1.2
2025-09-26T05:45:00Z,Water_Heater,1.5
2025-09-26T06:00:00Z,Water_Heater,2.1
2025-09-26T06:15:00Z,Water_Heater,2.8
2025-09-26T06:30:00Z,Water_Heater,3.2
2025-09-26T06:45:00Z,Water_Heater,3.5
2025-09-26T07:00:00Z,Water_Heater,3.8
2025-09-26T07:15:00Z,Water_Heater,4.1
2025-09-26T07:30:00Z,Water_Heater,3.9
2025-09-26T07:45:00Z,Water_Heater,3.6
2025-09-26T08:00:00Z,Water_Heater,3.2
2025-09-26T00:00:00Z,Refrigerator,0.4
2025-09-26T00:15:00Z,Refrigerator,0.3
2025-09-26T00:30:00Z,Refrigerator,0.4
2025-09-26T00:45:00Z,Refrigerator,0.3
2025-09-26T01:00:00Z,Refrigerator,0.4
2025-09-26T01:15:00Z,Refrigerator,0.3
2025-09-26T01:30:00Z,Refrigerator,0.4
2025-09-26T01:45:00Z,Refrigerator,0.3
2025-09-26T02:00:00Z,Refrigerator,0.4
2025-09-26T02:15:00Z,Refrigerator,0.5
2025-09-26T02:30:00Z,Refrigerator,0.4
2025-09-26T02:45:00Z,Refrigerator,0.3
2025-09-26T03:00:00Z,Refrigerator,0.4
2025-09-26T03:15:00Z,Refrigerator,0.3
2025-09-26T03:30:00Z,Refrigerator,0.4
2025-09-26T03:45:00Z,Refrigerator,0.3
2025-09-26T04:00:00Z,Refrigerator,0.4
2025-09-26T04:15:00Z,Refrigerator,0.5
